Time,X,Y,Vx,Vy,Speed,Fuel,Mass,Angle,Stage
1.210000,0.000002,5.393408,0.000001,8.968559,8.968559,0.131700,0.281850,1.570796,1
1.220000,0.000002,5.483878,0.000001,9.046964,9.046964,0.131550,0.281700,1.570796,1
1.230000,0.000002,5.575132,0.000001,9.125447,9.125447,0.131400,0.281550,1.570796,1
1.240000,0.000002,5.667172,0.000001,9.204005,9.204005,0.131250,0.281400,1.570796,1
1.250000,0.000002,5.759998,0.000001,9.282641,9.282641,0.131100,0.281250,1.570796,1
1.260000,0.000002,5.853612,0.000001,9.361353,9.361353,0.130950,0.281100,1.570796,1
1.270000,0.000002,5.948013,0.000001,9.440141,9.440141,0.130800,0.280950,1.570796,1
1.280000,0.000002,6.043203,0.000001,9.519005,9.519005,0.130650,0.280800,1.570796,1
1.290000,0.000002,6.139183,0.000001,9.597946,9.597946,0.130500,0.280650,1.570796,1
1.300000,0.000002,6.235953,0.000001,9.676962,9.676962,0.130350,0.280500,1.570796,1
1.310000,0.000002,6.333513,0.000001,9.756055,9.756055,0.130200,0.280350,1.570796,1
1.320000,0.000002,6.431865,0.000001,9.835223,9.835223,0.130050,0.280200,1.570796,1
1.330000,0.000002,6.531010,0.000001,9.914468,9.914468,0.129900,0.280050,1.570796,1
1.340000,0.000002,6.630948,0.000001,9.993788,9.993788,0.129750,0.279900,1.570796,1
1.350000,0.000002,6.731680,0.000001,10.073183,10.073183,0.129600,0.279750,1.570796,1
1.360000,0.000002,6.833206,0.000001,10.152654,10.152654,0.129450,0.279600,1.570796,1
1.370000,0.000002,6.935528,0.000001,10.232200,10.232200,0.129300,0.279450,1.570796,1
1.380000,0.000002,7.038646,0.000001,10.311822,10.311822,0.129150,0.279300,1.570796,1
1.390000,0.000002,7.142562,0.000001,10.391519,10.391519,0.129000,0.279150,1.570796,1
1.400000,0.000002,7.247275,0.000001,10.471291,10.471291,0.128850,0.279000,1.570796,1
1.410000,0.000002,7.352786,0.000001,10.551138,10.551138,0.128700,0.278850,1.570796,1
1.420000,0.000002,7.459097,0.000001,10.631060,10.631060,0.128550,0.278700,1.570796,1
1.430000,0.000002,7.566207,0.000001,10.711057,10.711057,0.128400,0.278550,1.570796,1
1.440000,0.000002,7.674118,0.000001,10.791129,10.791129,0.128250,0.278400,1.570796,1
1.450000,0.000002,7.782831,0.000001,10.871275,10.871275,0.128100,0.278250,1.570796,1
1.460000,0.000002,7.892346,0.000001,10.951496,10.951496,0.127950,0.278100,1.570796,1
1.470000,0.000002,8.002664,0.000001,11.031791,11.031791,0.127800,0.277950,1.570796,1
1.480000,0.000002,8.113786,0.000001,11.112161,11.112161,0.127650,0.277800,1.570796,1
1.490000,0.000003,8.225712,0.000001,11.192604,11.192604,0.127500,0.277650,1.570796,1
1.500000,0.000003,8.338443,0.000001,11.273122,11.273122,0.127350,0.277500,1.570796,1
1.510000,0.000003,8.451980,0.000001,11.353714,11.353714,0.127200,0.277350,1.570796,1
1.520000,0.000003,8.566324,0.000001,11.434380,11.434380,0.127050,0.277200,1.570796,1
1.530000,0.000003,8.681475,0.000001,11.515120,11.515120,0.126900,0.277050,1.570796,1
1.540000,0.000003,8.797434,0.000001,11.595933,11.595933,0.126750,0.276900,1.570796,1
1.550000,0.000003,8.914203,0.000001,11.676820,11.676820,0.126600,0.276750,1.570796,1
1.560000,0.000003,9.031780,0.000001,11.757781,11.757781,0.126450,0.276600,1.570796,1
1.570000,0.000003,9.150169,0.000001,11.838815,11.838815,0.126300,0.276450,1.570796,1
1.580000,0.000003,9.269368,0.000001,11.919922,11.919922,0.126150,0.276300,1.570796,1
1.590000,0.000003,9.389379,0.000001,12.001103,12.001103,0.126000,0.276150,1.570796,1
1.600000,0.000003,9.510202,0.000001,12.082356,12.082356,0.125850,0.276000,1.570796,1
1.610000,0.000003,9.631839,0.000001,12.163683,12.163683,0.125700,0.275850,1.570796,1
1.620000,0.000003,9.754290,0.000001,12.245082,12.245082,0.125550,0.275700,1.570796,1
1.630000,0.000003,9.877556,0.000001,12.326554,12.326554,0.125400,0.275550,1.570796,1
1.640000,0.000003,10.001637,0.000001,12.408099,12.408099,0.125250,0.275400,1.570796,1
1.650000,0.000003,10.126534,0.000001,12.489716,12.489716,0.125100,0.275250,1.570796,1
1.660000,0.000003,10.252248,0.000001,12.571406,12.571406,0.124950,0.275100,1.570796,1
1.670000,0.000003,10.378779,0.000001,12.653168,12.653168,0.124800,0.274950,1.570796,1
1.680000,0.000003,10.506129,0.000001,12.735003,12.735003,0.124650,0.274800,1.570796,1
1.690000,0.000003,10.634299,0.000001,12.816909,12.816909,0.124500,0.274650,1.570796,1
1.700000,0.000003,10.763287,0.000001,12.898887,12.898887,0.124350,0.274500,1.570796,1
1.710000,0.000003,10.893097,0.000001,12.980938,12.980938,0.124200,0.274350,1.570796,1
1.720000,0.000003,11.023727,0.000001,13.063059,13.063059,0.124050,0.274200,1.570796,1
1.730000,0.000003,11.155180,0.000001,13.145253,13.145253,0.123900,0.274050,1.570796,1
1.740000,0.000003,11.287455,0.000001,13.227518,13.227518,0.123750,0.273900,1.570796,1
1.750000,0.000003,11.420554,0.000001,13.309855,13.309855,0.123600,0.273750,1.570796,1
1.760000,0.000003,11.554476,0.000001,13.392263,13.392263,0.123450,0.273600,1.570796,1
1.770000,0.000003,11.689224,0.000001,13.474742,13.474742,0.123300,0.273450,1.570796,1
1.780000,0.000003,11.824797,0.000001,13.557292,13.557292,0.123150,0.273300,1.570796,1
1.790000,0.000003,11.961196,0.000001,13.639913,13.639913,0.123000,0.273150,1.570796,1
1.800000,0.000003,12.098422,0.000001,13.722604,13.722604,0.122850,0.273000,1.570796,1
1.810000,0.000003,12.236475,0.000001,13.805367,13.805367,0.122700,0.272850,1.570796,1
1.820000,0.000003,12.375357,0.000001,13.888200,13.888200,0.122550,0.272700,1.570796,1
1.830000,0.000003,12.515068,0.000001,13.971104,13.971104,0.122400,0.272550,1.570796,1
1.840000,0.000003,12.655609,0.000001,14.054077,14.054077,0.122250,0.272400,1.570796,1
1.850000,0.000003,12.796980,0.000001,14.137121,14.137121,0.122100,0.272250,1.570796,1
1.860000,0.000003,12.939183,0.000001,14.220236,14.220236,0.121950,0.272100,1.570796,1
1.870000,0.000003,13.082217,0.000001,14.303420,14.303420,0.121800,0.271950,1.570796,1
1.880000,0.000003,13.226084,0.000001,14.386674,14.386674,0.121650,0.271800,1.570796,1
1.890000,0.000003,13.370784,0.000001,14.469997,14.469997,0.121500,0.271650,1.570796,1
1.900000,0.000003,13.516318,0.000001,14.553390,14.553390,0.121350,0.271500,1.570796,1
1.910000,0.000003,13.662686,0.000001,14.636853,14.636853,0.121200,0.271350,1.570796,1
1.920000,0.000003,13.809890,0.000001,14.720385,14.720385,0.121050,0.271200,1.570796,1
1.930000,0.000003,13.957930,0.000001,14.803986,14.803986,0.120900,0.271050,1.570796,1
1.940000,0.000003,14.106806,0.000001,14.887657,14.887657,0.120750,0.270900,1.570796,1
1.950000,0.000003,14.256520,0.000001,14.971396,14.971396,0.120600,0.270750,1.570796,1
1.960000,0.000003,14.407072,0.000001,15.055204,15.055204,0.120450,0.270600,1.570796,1
1.970000,0.000003,14.558463,0.000001,15.139081,15.139081,0.120300,0.270450,1.570796,1
1.980000,0.000003,14.710694,0.000001,15.223026,15.223026,0.120150,0.270300,1.570796,1
1.990000,0.000003,14.863764,0.000001,15.307040,15.307040,0.120000,0.270150,1.570796,1
2.000000,0.000003,15.017675,0.000001,15.391122,15.391122,0.119850,0.270000,1.570796,1
2.010000,0.000003,15.172428,0.000001,15.475272,15.475272,0.119700,0.269850,1.570796,1
2.020000,0.000003,15.328023,0.000001,15.559490,15.559490,0.119550,0.269700,1.570796,1
2.030000,0.000003,15.484461,0.000001,15.643777,15.643777,0.119400,0.269550,1.570796,1
2.040000,0.000003,15.641742,0.000001,15.728131,15.728131,0.119250,0.269400,1.570796,1
2.050000,0.000003,15.799867,0.000001,15.812552,15.812552,0.119100,0.269250,1.570796,1
2.060000,0.000003,15.958838,0.000001,15.897041,15.897041,0.118950,0.269100,1.570796,1
2.070000,0.000003,16.118654,0.000001,15.981598,15.981598,0.118800,0.268950,1.570796,1
2.080000,0.000003,16.279316,0.000001,16.066221,16.066221,0.118650,0.268800,1.570796,1
2.090000,0.000003,16.440825,0.000001,16.150912,16.150912,0.118500,0.268650,1.570796,1
2.100000,0.000003,16.603182,0.000001,16.235670,16.235670,0.118350,0.268500,1.570796,1
2.110000,0.000003,16.766387,0.000001,16.320494,16.320494,0.118200,0.268350,1.570796,1
2.120000,0.000003,16.930441,0.000001,16.405385,16.405385,0.118050,0.268200,1.570796,1
2.130000,0.000003,17.095344,0.000001,16.490343,16.490343,0.117900,0.268050,1.570796,1
2.140000,0.000003,17.261098,0.000001,16.575367,16.575367,0.117750,0.267900,1.570796,1
2.150000,0.000003,17.427702,0.000001,16.660458,16.660458,0.117600,0.267750,1.570796,1
2.160000,0.000003,17.595158,0.000001,16.745614,16.745614,0.117450,0.267600,1.570796,1
2.170000,0.000003,17.763467,0.000001,16.830836,16.830836,0.117300,0.267450,1.570796,1
2.180000,0.000003,17.932628,0.000001,16.916125,16.916125,0.117150,0.267300,1.570796,1
2.190000,0.000003,18.102643,0.000001,17.001479,17.001479,0.117000,0.267150,1.570796,1
